"","codcomp","depto","secc","seg","zona","codloc","nomdepto","nomloc","nombarrioi","ccz","v_tot","v_tot_oc","v_tot_des","v_par","v_par_oc","v_par_des","v_col","v_col_oc","v_col_des","p_tot","p_tot_fem","p_tot_masc","p_part","p_part_fem","p_part_masc","p_col","p_col_fem","p_col_masc"
"13425","0304030410","03","04","030","410","03343","CANELONES","18 DE MAYO","N/A","N/A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13426","0503108019","05","03","108","019","05422","COLONIA","ROSARIO","N/A","N/A",1,1,0,1,1,0,0,0,0,4,3,1,4,3,1,0,0,0
"13427","0122021803","01","22","021","803","01020","MONTEVIDEO","MONTEVIDEO","CASTRO, P. CASTELLANOS","11",5,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"13428","1814101603","18","14","101","603","18020","TACUAREMBO","TACUAREMBO","N/A","N/A",26,19,7,26,19,7,0,0,0,53,28,25,48,25,23,0,0,0
"13429","1814203850","18","14","203","850","18020","TACUAREMBO","TACUAREMBO","N/A","N/A",185,119,66,184,119,65,1,0,1,390,189,201,357,170,187,0,0,0
"13430","1801014003","18","01","014","003","18020","TACUAREMBO","TACUAREMBO","N/A","N/A",20,16,4,19,15,4,1,1,0,40,20,20,32,18,14,8,2,6
"13431","1809302014","18","09","302","014","18521","TACUAREMBO","SAN GREGORIO DE POLANCO","N/A","N/A",5,2,3,5,2,3,0,0,0,5,4,1,3,3,0,0,0,0
"13432","0609006001","06","09","006","001","06421","DURAZNO","SARANDI DEL YI","N/A","N/A",7,6,1,7,6,1,0,0,0,20,10,10,16,9,7,0,0,0
"13433","0120002004","01","20","002","004","01020","MONTEVIDEO","MONTEVIDEO","LA TEJA","14",37,37,0,37,37,0,0,0,0,87,38,49,81,34,47,0,0,0
"13434","0609006009","06","09","006","009","06421","DURAZNO","SARANDI DEL YI","N/A","N/A",23,21,2,23,21,2,0,0,0,42,25,17,38,22,16,0,0,0
